"","No.","일자","일","사용량..kWh.","최대수요..kW.","사용량요금..원.","무효전력..kVarh....지상","무효전력..kVarh....진상","역률......지상","dayOfTheWeek","isHoliday","dateName","season"
"90",90,201511,29,46573.44,2872.32,2296071,930.24,3963.84,99.96,"일","N",NA,"fall"
"91",91,201511,30,77101.44,5016.96,7063932,7995.36,2895.36,99.33,"월","N",NA,"fall"
"92",92,201512,1,77269.44,5007.36,7052062,8010.24,2801.76,99.32,"화","N",NA,"winter"
"93",93,201512,2,78361.44,5220.48,7198897,9076.8,2851.68,99.15,"수","N",NA,"winter"
"94",94,201512,3,84643.68,5521.92,7790876,9333.6,2333.76,99.23,"목","N",NA,"winter"
"95",95,201512,4,84986.88,5376,7658973,9180.48,2422.08,99.22,"금","N",NA,"winter"
"96",96,201512,5,65237.76,4131.84,5072721,6230.4,2669.76,99.36,"토","N",NA,"winter"
"97",97,201512,6,51089.28,2841.6,2518702,769.44,2968.8,99.98,"일","N",NA,"winter"
"98",98,201512,7,81309.12,5253.12,7350933,9100.32,2654.4,99.19,"월","N",NA,"winter"
"99",99,201512,8,75865.44,4869.12,6941393,8130.72,3131.52,99.29,"화","N",NA,"winter"
"100",100,201512,9,76217.28,4909.44,6950816,7622.4,2876.16,99.37,"수","N",NA,"winter"
"101",101,201512,10,72812.16,4730.88,6674822,7060.8,3139.2,99.4,"목","N",NA,"winter"
"102",102,201512,11,69628.32,4469.76,6336317,6158.88,2907.36,99.51,"금","N",NA,"winter"
"103",103,201512,12,55447.68,3565.44,4318254,4145.76,3060.48,99.64,"토","N",NA,"winter"
"104",104,201512,13,38875.68,2035.2,1916571,0.48,4892.16,100,"일","N",NA,"winter"
"105",105,201512,14,75813.6,4990.08,6889245,7814.4,2777.28,99.34,"월","N",NA,"winter"
"106",106,201512,15,74419.68,4819.2,6763994,7278.24,2749.44,99.41,"화","N",NA,"winter"
"107",107,201512,16,78491.04,4872.96,7158655,8461.92,2616,99.24,"수","N",NA,"winter"
"108",108,201512,17,83438.88,5095.68,7437130,9270.72,1584,99.2,"목","N",NA,"winter"
"109",109,201512,18,83425.44,5241.6,7526857,10140.96,2077.92,99.02,"금","N",NA,"winter"
"110",110,201512,19,58318.08,3893.76,4462681,4653.12,2619.36,99.61,"토","N",NA,"winter"
"111",111,201512,20,41595.84,2236.8,2050675,44.64,4390.56,100,"일","N",NA,"winter"
"112",112,201512,21,75030.72,5028.48,6809304,8592.48,2824.32,99.16,"월","N",NA,"winter"
"113",113,201512,22,71395.2,4815.36,6455352,7785.12,2832.48,99.23,"화","N",NA,"winter"
"114",114,201512,23,68397.12,4702.08,6177724,6431.52,2768.64,99.46,"수","N",NA,"winter"
"115",115,201512,24,64801.92,4515.84,5820034,6746.4,2960.16,99.29,"목","N",NA,"winter"
"116",116,201512,25,38572.8,2158.08,1901639,25.92,4373.28,100,"금","N",NA,"winter"
"117",117,201512,26,55116.96,3304.32,4307124,5011.2,2506.56,99.4,"토","N",NA,"winter"
"118",118,201512,27,49854.72,2528.64,2457838,653.28,1532.16,99.99,"일","N",NA,"winter"
"119",119,201512,28,83332.32,5422.08,7430115,10309.44,1296.96,98.99,"월","N",NA,"winter"
"120",120,201512,29,78172.32,5164.8,6963350,8502.24,1855.2,99.24,"화","N",NA,"winter"
"121",121,201512,30,75435.36,4920.96,6743144,8136.96,2343.84,99.25,"수","N",NA,"winter"
"122",122,201512,31,69055.2,4680.96,6115483,6705.12,2948.64,99.36,"목","N",NA,"winter"
"123",123,201601,1,36085.92,1883.52,1779036,0,5671.2,100,"금","N",NA,"winter"
"124",124,201601,2,46188.96,2862.72,3577132,2039.52,3248.16,99.88,"토","N",NA,"winter"
"125",125,201601,3,36116.64,2010.24,1780550,2.88,5506.08,100,"일","N",NA,"winter"
"126",126,201601,4,71005.44,4786.56,6454938,7511.04,3127.2,99.34,"월","N",NA,"winter"
"127",127,201601,5,73923.36,4936.32,6677795,8030.4,2775.36,99.26,"화","N",NA,"winter"
"128",128,201601,6,75546.72,4947.84,6752659,8144.16,2075.52,99.27,"수","N",NA,"winter"
"129",129,201601,7,76021.44,4920.96,6818404,7666.08,2330.4,99.36,"목","N",NA,"winter"
"130",130,201601,8,75448.8,4732.8,6673691,7614.24,1844.64,99.33,"금","N",NA,"winter"
"131",131,201601,9,61404,3859.2,4698831,4874.88,2004,99.58,"토","N",NA,"winter"
"132",132,201601,10,44873.76,2789.76,2212276,433.44,3968.16,99.99,"일","N",NA,"winter"
"133",133,201601,11,79572,5136,7132395,8489.28,1996.8,99.25,"월","N",NA,"winter"
"134",134,201601,12,79121.28,4993.92,7050100,8064,1819.2,99.34,"화","N",NA,"winter"
"135",135,201601,13,81617.76,4940.16,7319010,8345.76,1623.84,99.34,"수","N",NA,"winter"
"136",136,201601,14,80476.8,5028.48,7001503,8188.8,1748.16,99.31,"목","N",NA,"winter"
"137",137,201601,15,74152.32,4796.16,6638852,7812,2452.32,99.29,"금","N",NA,"winter"
"138",138,201601,16,58680.48,3797.76,4549602,4973.76,2823.84,99.53,"토","N",NA,"winter"
"139",139,201601,17,43227.84,2400,2131133,94.56,4379.52,100,"일","N",NA,"winter"
"140",140,201601,18,78973.92,5070.72,7126421,8875.68,2283.36,99.2,"월","N",NA,"winter"
"141",141,201601,19,86157.6,5420.16,7723795,10714.08,1643.04,98.97,"화","N",NA,"winter"
"142",142,201601,20,84771.36,5170.56,7520817,9748.8,1493.76,99.18,"수","N",NA,"winter"
"143",143,201601,21,83822.88,5245.44,7454747,9852.96,1470.72,99.09,"목","N",NA,"winter"
"144",144,201601,22,81840,5043.84,7251028,9168,1542.24,99.21,"금","N",NA,"winter"
"145",145,201601,23,70502.4,4041.6,5436885,7642.08,1472.16,99.16,"토","N",NA,"winter"
"146",146,201601,24,66380.16,3452.16,3272542,6489.12,947.04,99.4,"일","N",NA,"winter"
"147",147,201601,25,87316.8,5470.08,7804756,10493.28,1462.56,99.05,"월","N",NA,"winter"
"148",148,201601,26,83522.4,5495.04,7403666,9028.32,1679.04,99.28,"화","N",NA,"winter"
"149",149,201601,27,77458.08,4947.84,6961146,8560.8,2193.6,99.2,"수","N",NA,"winter"
"150",150,201601,28,76119.84,4848,6822645,8002.56,2376.96,99.31,"목","N",NA,"winter"
"151",151,201601,29,72087.84,4704,6476366,7467.36,2697.12,99.3,"금","N",NA,"winter"
"152",152,201601,30,57483.84,3621.12,4474483,4730.4,2660.64,99.55,"토","N",NA,"winter"
"153",153,201601,31,41754.24,2737.92,2058484,1214.88,2472,99.96,"일","N",NA,"winter"
"154",154,201602,1,78471.84,4905.6,7000315,8891.52,1406.88,99.16,"월","N",NA,"winter"
"155",155,201602,2,79860.96,5020.8,7103772,9919.2,1520.16,99,"화","N",NA,"winter"
"156",156,201602,3,76909.92,4934.4,6838209,8736.48,1524.96,99.19,"수","N",NA,"winter"
"157",157,201602,4,73603.2,4548.48,6571429,8171.04,1873.92,99.24,"목","N",NA,"winter"
"158",158,201602,5,71330.88,4596.48,6327843,7417.92,1670.88,99.31,"금","N",NA,"winter"
"159",159,201602,6,53112.48,3102.72,4008176,4284,1783.2,99.57,"토","N",NA,"winter"
"160",160,201602,7,41970.72,2346.24,2069156,632.64,2987.52,100,"일","N",NA,"winter"
"161",161,201602,8,38345.76,2215.68,1890446,490.08,3685.92,99.99,"월","N",NA,"winter"
"162",162,201602,9,38216.16,2029.44,1884057,65.28,4550.4,100,"화","N",NA,"winter"
"163",163,201602,10,41144.64,2373.12,2028431,345.6,3638.4,99.99,"수","N",NA,"winter"
"164",164,201602,11,69673.92,4750.08,6299061,7275.36,2880.96,99.31,"목","N",NA,"winter"
"165",165,201602,12,66227.52,4402.56,5957695,6790.56,2836.32,99.37,"금","N",NA,"winter"
"166",166,201602,13,46755.84,3091.2,3598287,2622.72,3211.68,99.82,"토","N",NA,"winter"
"167",167,201602,14,41767.2,2430.72,2059123,160.32,3993.12,100,"일","N",NA,"winter"
"168",168,201602,15,78948.96,5034.24,7024058,8819.52,1486.08,99.2,"월","N",NA,"winter"
"169",169,201602,16,83793.12,5224.32,7441931,9376.32,1955.52,99.17,"화","N",NA,"winter"
"170",170,201602,17,76470.24,4945.92,6747799,7556.64,2120.16,99.37,"수","N",NA,"winter"
"171",171,201602,18,69231.36,4500.48,6244494,7292.64,2907.36,99.33,"목","N",NA,"winter"
"172",172,201602,19,66162.24,4408.32,5977745,6185.28,3060.48,99.47,"금","N",NA,"winter"
"173",173,201602,20,53864.64,3502.08,4201637,4192.32,3015.36,99.63,"토","N",NA,"winter"
"174",174,201602,21,39716.64,2277.12,1958030,60,4904.64,100,"일","N",NA,"winter"
"175",175,201602,22,73190.88,5020.8,6634357,8015.04,2607.36,99.25,"월","N",NA,"winter"
"176",176,201602,23,69900.48,4490.88,6352337,6964.8,2784.48,99.4,"화","N",NA,"winter"
"177",177,201602,24,73414.56,4773.12,6550017,7757.28,2187.84,99.3,"수","N",NA,"winter"
"178",178,201602,25,73043.52,4848,6542807,7449.6,2260.32,99.34,"목","N",NA,"winter"
"179",179,201602,26,67740.96,4450.56,6121313,6848.64,3111.84,99.36,"금","N",NA,"winter"
"180",180,201602,27,50952.96,3463.68,3968057,3259.68,3124.8,99.73,"토","N",NA,"winter"
"181",181,201602,28,39428.64,2252.16,1943832,29.76,5218.08,100,"일","N",NA,"winter"
"182",182,201602,29,80396.64,5111.04,7166528,7656.48,2211.36,99.37,"월","N",NA,"winter"
"183",183,201603,1,49864.8,2997.12,2258875,551.52,3624,99.99,"화","N",NA,"spring"
"184",184,201603,2,77146.08,5235.84,4974258,8092.8,3027.84,99.3,"수","N",NA,"spring"
"185",185,201603,3,71025.6,4719.36,4546476,6217.44,3228.96,99.53,"목","N",NA,"spring"
"186",186,201603,4,60712.8,4187.52,3853681,4326.24,3485.76,99.72,"금","N",NA,"spring"
"187",187,201603,5,45448.32,3058.56,2530587,1995.36,3588.48,99.89,"토","N",NA,"spring"
"188",188,201603,6,34909.92,1966.08,1581419,86.88,4397.76,100,"일","N",NA,"spring"
"189",189,201603,7,64858.56,4527.36,4149065,4365.6,3567.36,99.75,"월","N",NA,"spring"
"190",190,201603,8,70913.28,4661.76,4560523,6740.64,3277.92,99.44,"화","N",NA,"spring"
"191",191,201603,9,74798.88,4968.96,4800504,7834.56,2817.6,99.32,"수","N",NA,"spring"
"192",192,201603,10,75831.36,4767.36,4816011,7700.64,2041.44,99.36,"목","N",NA,"spring"
"193",193,201603,11,73182.24,4675.2,4639991,7227.84,2100.48,99.38,"금","N",NA,"spring"
"194",194,201603,12,53786.88,3692.16,3000109,3994.56,2963.04,99.64,"토","N",NA,"spring"
"195",195,201603,13,39096.96,2528.64,1771092,305.76,4394.88,99.99,"일","N",NA,"spring"
"196",196,201603,14,71465.28,4765.44,4585963,6501.12,2899.2,99.49,"월","N",NA,"spring"
"197",197,201603,15,68344.32,4736.64,4358920,5297.76,3093.12,99.67,"화","N",NA,"spring"
"198",198,201603,16,64692.48,4542.72,4118437,4145.28,3148.32,99.78,"수","N",NA,"spring"
"199",199,201603,17,63085.92,4440.96,4013065,3799.2,3446.4,99.8,"목","N",NA,"spring"
"200",200,201603,18,55882.56,3780.48,3531175,2571.36,3168.48,99.89,"금","N",NA,"spring"
"201",201,201603,19,42040.8,2784,2332108,952.8,3464.16,99.97,"토","N",NA,"spring"
"202",202,201603,20,31140.48,1647.36,1410664,0,6544.8,100,"일","N",NA,"spring"
